depth,a,b,c
434,20,2.39,0.14
435,21,3.51,0.71
436,39,1.75,0.13
437,39,5.67,0.44
438,28,6.86,0.91
439,94,4.73,0.01
440,5,0.49,0.93
441,33,0.82,0.56
442,13,4.8,0.9
443,21,6.28,0.71
444,56,4.84,0.7
445,62,6.61,0.86
446,37,3.17,0.07
447,73,9.21,0.12
448,23,3.34,0.06
449,94,1.7,0.61
450,20,3.37,0.85
451,49,8.26,0.31
452,19,0.9,0.71
453,3,5.58,0.43
454,18,3.71,0.52
455,46,0.83,0.2
456,99,2.52,0.6
457,22,1.01,0.06
458,1,8.7,0.07
459,42,2.83,0.32
460,93,8.2,0.74
461,48,0.49,0.06
462,2,6.18,0.45
463,56,4.86,0.98
464,23,1.92,0.1
465,81,1.3,0.14
466,32,8.68,0.31
467,22,1.8,0.65
468,80,1.58,0.66
469,35,9.44,0.6
470,58,0.98,0.68
471,63,6.05,0.61
472,6,9.07,0.59
473,62,9.57,1
474,45,7.78,0.82
475,27,1.05,0.44
476,69,9.35,0.97
477,95,9.53,0.58
478,7,0.67,0.33
479,45,5.14,0.79
480,90,4.13,0.26
481,50,0.08,0.58
482,49,0.02,0.61
483,41,4.2,0.7
484,87,6.49,0.3
485,44,3.07,0.38
486,65,5.64,0.38
487,61,5.33,0.8
488,31,9.52,0.41
489,9,1.87,0.5
490,20,3.85,0.79
491,3,4.84,0.82
492,1,9.02,0.92
493,80,8.53,0.31
494,76,1.19,0.28
495,40,6.28,0.5
496,71,8.07,0.9
497,55,0.27,0.69
498,15,8.49,0.72
499,12,7.77,0.17
500,54,8.53,0.36
501,38,1.38,0.46
502,85,4.89,0.34
503,88,2.67,0.1
504,67,1.36,0.3
505,4,8.02,0.5
506,78,8.25,0.75
507,89,3.38,0.45
508,93,2.74,0.08
509,5,0.92,0.77
510,81,6.04,0.76
511,40,9.7,0.32
512,21,9.68,0.62
513,74,8.91,0.27
514,8,8.71,0.12
515,61,1.84,0.3
516,26,6.87,0.07
517,66,0.59,0.59
518,75,4.43,0.33
519,5,8.69,0.62
520,53,7.29,1
521,80,0.92,0.18
522,3,5.97,0.37
523,98,7.05,0.09
524,19,6.56,0.03
525,89,2.98,0.15
526,15,5.63,0.74
527,30,7.93,0.9
528,1,7.14,0.25
529,32,1.72,0.99
530,11,0.44,0.76
531,44,5.79,0.68
532,89,0.3,0.56
533,43,0.16,0.84
534,65,7.19,0
535,86,8.22,0.13
536,1,9.46,0.11
537,93,4.14,0.34
538,26,9.33,0.87
539,28,5.61,0.63
540,39,8.93,0.26
541,38,0.45,0.47
542,5,7,0.13
543,9,4.22,0.52
544,11,2.73,0.57
545,50,9.86,0.04
546,56,5.85,0.97
547,54,2.99,0.43
548,35,9.18,0.08
549,65,2.42,0.73
550,63,0.69,0.87
551,59,5.52,0.17
552,78,0.85,0.06
553,63,3.89,0.65
554,82,7.39,0.56
555,15,1.52,0.17
556,31,2.67,0.09
557,94,4.19,0.3
558,2,5.9,0.97
559,74,4.55,0.03
560,63,2.68,0.51
561,33,8.77,0.83
562,37,3.88,0.33
563,47,5.14,0.38
564,32,0.48,0.67
565,96,4.8,0.65
566,28,0.91,0.74
567,43,1.15,0.07
568,12,8.2,0.13
569,75,2.9,0.66
570,21,8.21,0.48
571,90,6.84,0.19
572,56,4.37,0.24
573,97,7.19,0.09
574,20,4.94,0.46
575,26,0.38,0.66
576,34,9.59,0.76
577,24,2.32,0.94
578,4,6.18,0.9
579,14,1.08,0.51
580,58,3.46,0.17
581,12,2.29,0.48
582,30,6.66,0.36
583,52,8.26,0.82
584,82,0.08,0.9
585,61,7.85,0.86
586,9,3.64,0.82
587,23,2.82,0.63
588,33,9.84,0.14
589,6,4.12,0.28
590,58,4.62,0.71
591,40,0.09,0.42
592,25,6.04,0.22
593,39,4.57,0.25
594,62,8.07,0.97
595,11,2.6,0.13
596,48,3.24,0.29
597,72,3.93,0.04
598,60,6.11,0.65
599,35,5.8,0.29
600,4,8.63,0.48
601,78,9.35,0.72
602,82,4.86,0.41
603,21,2.44,0.41
604,61,3.87,0.72
605,1,6.45,0.61
606,24,9.31,0.51
607,61,1.99,0.02
608,44,2.1,0.42
609,68,3.54,0.71
610,68,7.45,0.41
611,53,0.23,0.13
612,0,1.06,0.43
613,82,0.46,0.01
614,70,7.34,0.24
615,42,0.35,0.07
616,34,3.16,0.7
617,76,8.49,0.3
618,33,2.44,0.12
619,81,4.08,0.85
620,24,1.28,0.14
621,87,1.81,0.97
622,50,3.54,0.33
623,99,1.63,0.31
624,4,6.29,0.33
625,73,7.13,0.8
626,34,9.11,0.88
627,27,2.04,0.32
628,16,8.21,0.55
629,78,5.39,0.24
630,96,8.26,0.91
631,66,2.98,0.41
632,100,2.75,0.67
633,5,4.53,0.99
634,56,1.15,0.93
635,45,9.91,0.24
636,89,9.76,0.14
637,59,8.58,0.98
638,26,8.78,0.31
639,43,8.3,0.65
640,87,3.16,0.98
641,74,5.07,0.86
642,47,2.35,0.88
643,69,6.35,0.74
644,87,9.61,0.97
645,26,4.73,0.82
646,20,2.99,0.94
647,93,7.65,0.92
648,61,3.8,0.91
649,57,0.39,0.42
650,44,1.56,0.58
651,61,2.5,0.26
652,19,6.77,0.48
653,7,8.26,0.79
654,24,0.33,0.53
655,35,9.97,0.83
656,77,0.83,0.92
657,92,7.77,0.01
658,42,0.43,0.11
659,29,3.7,0.48
660,53,0.61,0.77
661,90,4.96,0.82
662,57,7.74,0.44
663,97,0.06,0.63
664,49,7.12,0.53
665,16,1.69,0.56
666,31,5.13,0.74
667,39,6.95,0.63
668,44,4.28,0.79
669,23,6.27,0.59
670,49,3.79,0.12
671,4,8.11,0.63
672,27,8.61,0.39
673,30,5.56,0.51
674,7,6.83,0.36
675,71,9.61,0.09
676,94,0.35,0.13
677,39,2.19,0.43
678,80,2.13,0.13
679,32,4.88,0.99
680,2,4.46,0.43
681,74,1.77,0.6
682,16,1.81,0.78
683,96,4.27,0.25
684,24,8.35,0.9
685,93,0.82,0.31
686,65,8.69,0.27
687,54,7.15,0.95
688,50,9.2,0.14
689,22,4.72,0.73
690,51,6.75,0.66
691,28,0.2,0.84
692,13,5.76,0.88
693,35,7.74,0.79
694,41,4.37,0.51
695,42,3.84,0.75
696,76,6.68,0.46
697,4,8.18,0.75
698,50,7.47,0.19
699,96,8.84,0.47
700,81,0.49,0.17
701,41,8.44,0.49
702,43,9.88,0.58
703,29,7.02,0.34
704,94,6.57,0.55
705,42,5,0.44
706,7,6.15,0.76
707,48,7.5,0.57
708,39,5.14,0.24
709,31,0.08,0.5
710,76,6.99,0.25
711,79,3.86,0.25
712,85,9.11,0.89
713,70,7.82,0.78
714,60,8.7,0.31
715,8,2.99,0.22
716,24,7.76,0.36
717,50,1.88,0.69
718,42,5.79,0.46
719,68,9.92,0.67
720,75,3.41,0.12
721,34,0.1,0.04
722,100,4.82,0.31
723,8,5.07,0.03
724,96,9.44,0.93
725,58,0.66,0.91
726,90,3.07,0.65
727,80,7.19,0.93
728,39,9.49,0.97
729,71,4.26,0.25
730,87,0.08,0.68
731,12,2.97,0.44
732,38,5.65,0.78
733,28,4.36,0.51
734,15,8.46,0.4
735,5,0.43,0.11
736,27,4.57,0.61
737,11,6.71,0.41
738,94,0.86,0.87
739,95,6.87,0.51
740,18,2.52,0.84
741,2,8.72,0.94
742,53,8.14,0.1
743,89,9.43,0.21
744,41,6.15,0.03
745,39,9.57,0.31
746,45,6.29,0.25
747,23,6.37,0.53
748,4,1.33,0.16
749,89,0.41,0.62
750,24,0.01,0.14
751,91,4.55,0.92
752,79,3.11,0.9
753,21,0.11,0.32
754,84,0.08,0.84
755,7,0.44,0.44
756,68,2.22,0.03
757,97,4.14,0.05
758,51,6.6,0.9
759,62,9.12,0.28
760,68,1.98,0.08
761,44,9.38,0.63
762,84,3.71,0.67
763,11,6.32,0.93
764,92,1.51,0.36
765,27,1.35,0.36
766,57,0.76,0.25
767,43,8.87,0.2
768,81,1.56,0.39
769,7,4.38,0.09
770,23,5.61,0.57
771,25,4.75,0.76
772,52,8.47,0.54
773,99,7.65,0.52
774,74,7.71,0.41
775,88,8.97,1
776,84,7.25,0.56
777,4,0.58,0.84
778,3,9.7,0.94
779,62,9.54,0.98
780,64,0.95,0.18
781,7,5.68,0.8
782,47,6.39,0.52
783,75,0.34,0.06
784,74,3.58,0.79
785,12,3.92,0.54
786,98,2.32,0.3
787,0,0.24,0.79
788,25,4.88,0.59
789,40,6.52,0.8
790,90,0.91,0.85
791,28,5.45,0.29
792,7,3.95,0.58
793,85,5.32,0.94
794,77,2.38,0.09
795,67,0.43,0.8
796,66,8.98,0.07
797,11,9.34,0.15
798,52,9.41,0.39
799,48,7.15,0.21
800,37,3.22,0.15
801,14,8.99,0.6
802,47,8.54,0.87
803,70,3.55,0.8
804,71,9.49,0.37
805,33,8.87,0.21
806,36,0.4,0.5
807,60,1.28,0.53
808,20,4.67,0.57
809,34,3.81,0.99
810,22,1.42,0.09
811,16,9.83,0.97
812,75,3.43,0.8
813,0,9.72,0.11
814,92,3.13,0.31
815,97,0.4,0.51
816,93,1.91,0.66
817,84,3.98,0.86
818,63,2.74,0.42
819,35,2.16,0.19
820,25,7.39,0.05
821,68,5.56,0.92
822,11,3.09,0.96
823,87,5.46,0.35
824,91,5.31,0.37
825,98,3.88,0.92
826,8,1.72,0.8
827,79,8.13,0.4
828,15,2.68,0.05
829,49,7.47,0.75
830,11,1.85,0.2
831,96,2.83,0.99
832,17,7.66,0.3
833,87,6.94,0.77
834,75,1.44,0.63
835,78,2.95,0.94
836,22,3.12,0.02
837,66,7.59,0.62
838,95,6.15,0.61
839,46,7.43,0.1
840,34,8.22,0.42
841,53,7.3,0.3
842,80,5.48,0.99
843,17,4.74,0.05
844,43,8.73,0.29
845,33,3.33,0.41
846,31,8.4,0.13
847,86,2.61,0.36
848,19,7.74,0.22
849,61,8.92,0.16
850,18,7.82,0.55
851,65,8.12,0.35
852,79,2.44,0.02
853,23,4.41,0.65
854,81,4.64,0.79
855,87,9.68,0.78
856,33,3.67,1
857,90,5.78,0.52
858,66,4.85,0.53
859,69,5.2,0.82
860,68,2.99,0.93
861,91,2.22,0.04
862,62,2.61,0.81
863,5,9.24,0.74
864,48,2.86,0.82
865,45,1.81,0.93
866,47,3.05,0.05
867,47,4.93,0.54
868,23,1.49,0.92
869,3,9.17,0.51
870,63,6.66,0.58
871,55,5.69,0.63
872,43,7.1,0.89
873,99,1.49,0.55
874,80,7.89,0.74
875,66,2.25,0.52
876,28,1.45,0.72
877,99,2.36,0.42
878,40,1.37,0.46
879,14,5.87,0.94
880,71,2.52,0.05
881,7,9.78,0.89
882,37,8.19,0.29
883,16,2.56,0.01
884,91,0.77,0.03
885,63,2.53,0.85
886,13,4.71,0.46
887,34,5.19,0.99
888,51,4.01,0.03
889,21,1.87,0.25
890,57,5.43,0.21
891,45,3.85,0.35
892,5,4.44,0.13
893,84,0.62,0.66
894,13,0.98,0.85
895,14,1.38,0.37
896,98,1.55,0.94
897,51,2.83,0.99
898,23,5.82,0.69
899,63,9.33,0
900,17,8.91,0.32
901,7,3.84,0.22
902,14,5.07,0.95
903,15,7.48,0.82
904,66,3.42,0.95
905,28,6.87,0.29
906,68,1.41,0.86
907,98,9.16,0.45
908,82,6.97,0.94
909,50,9.75,0.36
910,99,4.2,0.56
911,82,2.28,0.78
912,11,5.11,0.32
913,11,9.93,0.12
914,82,3.62,0.44
915,67,9.98,0.02
916,78,0.06,0.76
917,82,1.73,0.71
918,95,0.37,1
919,6,4.78,0.56
920,2,9.79,0.9
921,85,8.43,0.59
922,62,4.19,0.36
923,9,6.2,0.93
924,78,6.79,0.34
925,10,2.6,0.21
926,88,9.3,0.82
927,63,8.75,0.73
928,11,5.17,0.23
929,19,5.35,0.72
930,43,3.35,0.53
931,18,6.69,0.9
932,93,5.45,0.85
933,47,1.65,0.61
934,42,9.95,0.85
935,49,2.42,0.99
936,47,8.96,0.53
937,52,6.91,0.07
938,22,3.87,0.29
939,31,5.09,0.28
940,96,1.62,0.81
941,36,8.23,0.84
942,76,3.6,0.8
943,26,0.61,0.77
944,94,4.37,0.27
945,54,2.78,0.33
946,67,3.13,0.11
947,77,3.49,0.33
948,3,5.97,0.42
949,77,9.5,0.02
950,19,8.14,0.28
951,14,0.35,0.84
952,47,6.96,0.97
953,93,5.19,0.79
954,7,2.46,0.74
955,23,8.23,0.95
956,12,7.5,0.47
957,82,6.01,0.74
958,65,6.61,0.32
959,75,4.1,0.92
960,57,1.95,0.19
961,24,9.84,0.07
962,93,7.98,0.85
963,41,2.67,0.93
964,10,5.36,0.99
965,28,1.49,0.92
966,75,9.22,0.34
967,96,1.12,0.37
968,61,5.27,0.64
969,44,0.74,0.97
970,6,2.14,0.31
971,49,6.2,0.53
972,40,4.93,0.25
973,23,9.43,0.38
974,43,2.29,0.34
975,7,9.29,0.78
976,3,6.64,0.98
977,69,2.81,0.05
978,30,6.89,0.71
979,90,2.28,0.14
980,10,6.61,0.1
981,8,4.86,0.65
982,52,8.22,0.22
983,66,2.26,0.11
984,12,1.85,0.26
985,4,8.5,0.29
986,100,4.92,0.35
987,36,1.99,0.59
988,91,6.51,0.79
989,51,1.97,0.74
990,4,7.51,0.63
991,7,9.82,0.6
992,80,7.9,0.34
993,3,4.21,0.95
994,1,0.19,0.43
995,81,4.92,0.21
996,5,1.65,0.52
997,18,1.34,0.26
998,83,3.19,0.63
999,86,8.26,0.38
1000,46,9.33,0.52
1001,84,2.28,0.7
1002,66,4.54,0.66
1003,51,8.73,0.59
1004,85,0.21,0.41
1005,53,2.63,0.05
1006,58,7.99,0.36
1007,48,7.58,0.6
1008,35,6.28,0.71
1009,23,5.44,0.13
1010,28,0.37,0.14
1011,2,5.37,0.17
1012,29,1.88,0.58
1013,22,6.96,0
1014,61,5.85,0.5
1015,41,9.79,0.59
1016,90,0.09,0.73
1017,59,3.88,0.71
1018,72,5.99,0.77
1019,89,6.47,0.91
1020,63,8.24,0.46
1021,1,5.48,0.08
1022,45,1.13,0.47
1023,75,2.35,0.25
1024,38,5.86,0.48
1025,54,7.47,0.13
1026,57,1.71,0.18
1027,88,7.08,0.36
1028,16,0.34,0.2
1029,38,8.44,0.35
1030,84,4.48,0.04
1031,94,8.49,0.6
1032,3,4.78,0.4
1033,41,6.33,0.55
1034,53,3.88,0.75
1035,21,5.62,0.68
1036,41,2.57,0.44
1037,85,3.79,0.02
1038,69,7.06,0.13
1039,48,6.44,0.92
1040,28,8.87,0.55
1041,28,9.95,0.13
1042,78,1.75,0.96
1043,73,5.66,0.99
1044,69,9.33,0.83
1045,57,9.62,0.77
1046,91,0.15,0.04
1047,81,8.03,0.39
1048,19,6.78,0.52
1049,50,1.97,0.33
1050,74,1.64,0.88
1051,87,9.73,0.28
1052,94,7.25,0.05
1053,12,9.41,0.68
1054,30,6.69,0.79
1055,98,1.75,0.81
1056,33,2.35,0.56
1057,41,1.53,0.52
1058,63,5.07,0.3
1059,97,8.31,0.88
1060,40,1.2,0.67
1061,97,6.7,0.73
1062,13,8.22,0.53
1063,60,2.37,0.87
1064,78,8.81,0.65
1065,5,1.47,0.67
1066,2,2.42,0.87
1067,94,7.91,0.76
1068,87,4.76,0.67
1069,74,1.58,0.13
1070,50,1.91,0.52
1071,99,2.5,0.65
1072,40,3.58,0.66
1073,34,2.8,0.48
1074,63,0.29,0.21
1075,93,0.4,0.34
1076,76,4.83,0.13
1077,30,9.6,0.3
1078,47,5.92,0.55
1079,82,1.96,0.41
1080,22,1.2,0.62
1081,66,9.61,0.3
1082,45,1.74,0.13
1083,76,8.04,0.07
1084,49,4.06,0.34
1085,83,3.17,0.4
1086,93,4.11,0.66
1087,62,5.28,0.52
1088,2,9.76,0.65
1089,34,1.72,0.43
1090,23,8.78,0.83
1091,73,2.37,0.66
1092,74,3.54,0.95
1093,52,7.78,0.2
1094,39,9.92,0.76
1095,7,8.31,0.53
1096,58,5.54,0.23
1097,52,0.77,0.86
1098,55,8.19,0.33
1099,94,1.04,0.24
1100,91,5.08,1
1101,25,6.33,0.95
1102,55,0.41,0.91
1103,61,7.46,0.62
1104,73,7.78,0.99
1105,38,8.86,0.01
1106,47,5.02,0.43
1107,45,9.16,0.72
1108,22,3.83,0.38
1109,29,1.6,0.11
1110,50,2.39,0.16
1111,17,2.26,0.08
1112,61,3.52,0.69
1113,69,5.2,0.18
1114,20,2.73,0.89
1115,64,8.79,0.67
1116,27,7.15,0.94
1117,52,4.41,0.46
1118,95,8.25,0.58
1119,69,6.59,0.14
1120,90,8.26,0.11
1121,30,2.64,0.58
1122,18,6.07,0.92
1123,74,9.92,0.72
1124,76,3.54,0.81
1125,17,8.97,0.5
1126,38,5.45,0.16
1127,69,8.51,0.6
1128,53,5.59,0.22
1129,30,4.98,0.02
1130,67,1.25,0.24
1131,50,3.81,0.14
1132,5,5.59,0.18
1133,57,4.02,0.94
1134,84,8.81,0.79
1135,33,0.3,0.47
1136,58,9.22,0.55
1137,75,6.64,0.53
1138,39,6.9,0.31
1139,92,4.44,0.84
1140,87,0.74,0.69
1141,77,8.46,0.61
1142,28,3.7,0.44
1143,74,0.53,0.08
1144,92,8.67,0.96
1145,1,8.74,0.39
1146,59,5.1,0.51
1147,95,0.7,0.43
1148,82,3.44,0.18
1149,18,9.73,0.64
1150,9,8.68,0.86
1151,99,3.12,0.92
1152,75,4.23,0.89
1153,12,3.39,0.13
1154,94,1.4,0.7
